Datetime,Load
09/07/2021 00:00:00,7958.0538247823715
09/07/2021 01:00:00,7928.425380378962
09/07/2021 02:00:00,7981.496445924044
09/07/2021 03:00:00,7862.997218489647
09/07/2021 04:00:00,7909.392890036106
09/07/2021 05:00:00,7956.601659834385
09/07/2021 06:00:00,8000.760883241892
09/07/2021 07:00:00,7841.341987013817
09/07/2021 08:00:00,7897.220951855183
09/07/2021 09:00:00,7839.141201078892
09/07/2021 10:00:00,7831.509489417076
09/07/2021 11:00:00,7833.195313125849
09/07/2021 12:00:00,7818.814315378666
09/07/2021 13:00:00,7864.726122140884
09/07/2021 14:00:00,7874.438224136829
09/07/2021 15:00:00,8038.97222161293
09/07/2021 16:00:00,8003.51400539279
09/07/2021 17:00:00,7987.6757073402405
09/07/2021 18:00:00,8360.720620512962
09/07/2021 19:00:00,8263.64810115099
09/07/2021 20:00:00,8395.281860977411
09/07/2021 21:00:00,8124.990313619375
09/07/2021 22:00:00,8231.190930724144
09/07/2021 23:00:00,8194.867406785488
09/08/2021 00:00:00,8365.395507514477
09/08/2021 01:00:00,8211.346198022366
09/08/2021 02:00:00,8329.134749054909
09/08/2021 03:00:00,8220.963581204414
09/08/2021 04:00:00,8273.956189900637
09/08/2021 05:00:00,8259.279338508844
09/08/2021 06:00:00,8260.549768865108
09/08/2021 07:00:00,8284.689942717552
09/08/2021 08:00:00,8208.788219451904
09/08/2021 09:00:00,8346.858008563519
09/08/2021 10:00:00,8363.055211037397
09/08/2021 11:00:00,8581.024028539658
09/08/2021 12:00:00,8485.486410439014
09/08/2021 13:00:00,8495.45328322053
09/08/2021 14:00:00,8570.594117701054
09/08/2021 15:00:00,8492.877330899239
09/08/2021 16:00:00,8510.771198391914
09/08/2021 17:00:00,8539.129497736692
09/08/2021 18:00:00,8515.978736072779
09/08/2021 19:00:00,8589.601216554642
09/08/2021 20:00:00,8616.137319922447
09/08/2021 21:00:00,8571.351868212223
09/08/2021 22:00:00,8487.37194249034
09/08/2021 23:00:00,8507.329938352108
09/09/2021 00:00:00,8468.414200127125
09/09/2021 01:00:00,8442.758525252342
09/09/2021 02:00:00,8603.652695536613
09/09/2021 03:00:00,8469.894894838333
09/09/2021 04:00:00,8297.746874153614
09/09/2021 05:00:00,8268.7161282897
09/09/2021 06:00:00,8220.883127272129
09/09/2021 07:00:00,8480.987552076578
09/09/2021 08:00:00,8623.559623122215
09/09/2021 09:00:00,8591.132694244385
09/09/2021 10:00:00,8532.347687721252
09/09/2021 11:00:00,8485.481845676899
09/09/2021 12:00:00,8636.54351836443
09/09/2021 13:00:00,8697.900483042002
09/09/2021 14:00:00,8408.578157126904
09/09/2021 15:00:00,8528.411150991917
09/09/2021 16:00:00,8531.140308141708
09/09/2021 17:00:00,8530.167443215847
09/09/2021 18:00:00,8363.082314312458
09/09/2021 19:00:00,7939.842135727406
09/09/2021 20:00:00,8279.444745749235
09/09/2021 21:00:00,8291.009855866432
09/09/2021 22:00:00,8271.117193162441
09/09/2021 23:00:00,8267.051416605711
09/10/2021 00:00:00,8308.662361562252
09/10/2021 01:00:00,8257.515913844109
09/10/2021 02:00:00,8247.57443255186
09/10/2021 03:00:00,8164.9140083789825
09/10/2021 04:00:00,8028.063010752201
09/10/2021 05:00:00,8059.867420196533
09/10/2021 06:00:00,8040.392433226109
09/10/2021 07:00:00,7994.566215753555
09/10/2021 08:00:00,7961.2754056453705
09/10/2021 09:00:00,7934.565841317177
09/10/2021 10:00:00,7930.872948765755
09/10/2021 11:00:00,7897.407251209021
09/10/2021 12:00:00,7935.796615302563
09/10/2021 13:00:00,7886.454675108194
09/10/2021 14:00:00,7748.802276432514
09/10/2021 15:00:00,7801.713290005922
09/10/2021 16:00:00,7778.522301375866
09/10/2021 17:00:00,7626.130000531673
09/10/2021 18:00:00,7686.903246253729
09/10/2021 19:00:00,7591.423543572426
09/10/2021 20:00:00,7567.150421023369
09/10/2021 21:00:00,7541.777761399746
09/10/2021 22:00:00,7559.182058155537
09/10/2021 23:00:00,7617.317727267742
09/11/2021 00:00:00,7633.837601363659
09/11/2021 01:00:00,7627.941640496254
09/11/2021 02:00:00,7642.522061288357
09/11/2021 03:00:00,7736.257454246283
09/11/2021 04:00:00,7744.7424911260605
09/11/2021 05:00:00,7649.908416986465
09/11/2021 06:00:00,7702.4833499491215
09/11/2021 07:00:00,7624.9083560705185
09/11/2021 08:00:00,7671.711147338152
09/11/2021 09:00:00,7753.423812776804
09/11/2021 10:00:00,7747.262239813805
09/11/2021 11:00:00,7955.729219675064
09/11/2021 12:00:00,7972.839945167303
09/11/2021 13:00:00,7956.816774249077
09/11/2021 14:00:00,8011.517459869385
09/11/2021 15:00:00,7996.272010296583
09/11/2021 16:00:00,8067.9225135445595
09/11/2021 17:00:00,7928.317823171616
09/11/2021 18:00:00,8026.308430314064
09/11/2021 19:00:00,7976.3967507481575
09/11/2021 20:00:00,7841.013324141502
09/11/2021 21:00:00,7871.170710355043
09/11/2021 22:00:00,7894.754839122295
09/11/2021 23:00:00,7898.01065570116
09/12/2021 00:00:00,7804.383105248213
09/12/2021 01:00:00,7949.1171617507935
09/12/2021 02:00:00,8012.116014301777
09/12/2021 03:00:00,8065.702612668276
09/12/2021 04:00:00,8117.546042501926
09/12/2021 05:00:00,7998.998599767685
09/12/2021 06:00:00,7995.833507835865
09/12/2021 07:00:00,8028.599085003138
09/12/2021 08:00:00,8208.273257225752
09/12/2021 09:00:00,8191.110607564449
09/12/2021 10:00:00,8216.947161138058
09/12/2021 11:00:00,8239.475403368473
